id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	currency	availability	shipping_weight	expiration_date	brand	condition	product_type	google_product_category	payment_accepted
406	Linen Blazer	Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.	http://127.0.0.1/1SBMagento/linen-blazer-580.html	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj012t_2.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj012a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj012b.jpg	455.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
410	Chelsea Tee	Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.	http://127.0.0.1/1SBMagento/chelsea-tee-703.html	http://127.0.0.1/1SBMagento/media/catalog/product/m/t/mtk004t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/m/t/mtk004a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/t/mtk000t_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/t/mtk002t_2.jpg	75.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
418	Tori Tank	Ribbed scoop neck tank. 100% cotton.Machine wash.	http://127.0.0.1/1SBMagento/tori-tank-587.html	http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk003t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk003a.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk003b.jpg	60.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
421	Elizabeth Knit Top	Loose fitting from the shoulders, open weave knit top. Semi sheer. Slips on. Faux button closure detail on the back. Linen/Cotton. Machine wash.	http://127.0.0.1/1SBMagento/elizabeth-knit-top-593.html	http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012b_4.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012c-royal-blue.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012c-pink.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/b/wbk012c-red.jpg	210.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
423	Racer Back Maxi Dress	Racer back maxi dress. Pull over style. Loose fitting. Straight skirt falls to floor. Viscose.	http://127.0.0.1/1SBMagento/racer-back-maxi-dress-603.html	http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd005t_2.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd005a.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd005b_2.jpg	280.00	224.00	2013-05-10T00:00:00-07:00/2024-04-17T23:59:59-07:00	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
425	Lafayette Convertible Dress	Two sash, convertible neckline with front ruffle detail. Unhemmed, visisble seams. Hidden side zipper. Unlined. Wool/elastane. Hand wash.	http://127.0.0.1/1SBMagento/lafayette-convertible-dress.html	http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd013t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd013a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/s/wsd013b_2.jpg	340.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
456	Khaki Bowery Chino Pants	Straight leg chino. Back pockets with button closure. 14 leg opening. Zip fly. 100% cotton.	http://127.0.0.1/1SBMagento/khaki-bowery-chino-pants.html	http://127.0.0.1/1SBMagento/media/catalog/product/m/p/mpd000t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/m/p/mpd000a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/p/mpd000b_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/p/mpd000c_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/p/mpd003t_1.jpg	140.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
428	Park Avenue Pleat Front Trousers	Wide leg pant, front pleat detail. Sits on natural waist. Wool, unlined. Dry clean.	http://127.0.0.1/1SBMagento/park-avenue-pleat-front-trousers-663.html	http://127.0.0.1/1SBMagento/media/catalog/product/w/p/wpd010t.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/w/p/wpd010a.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/w/p/wpd010b_4.jpg	245.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
402	French Cuff Cotton Twill Oxford	Button front. Long sleeves. Tapered collar, chest pocket, french cuffs.	http://127.0.0.1/1SBMagento/french-cuff-cotton-twill-oxford-570.html	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj000t_2.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj000a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj000c_2.jpg	190.00	 	 	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
403	Slim fit Dobby Oxford Shirt	Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.	http://127.0.0.1/1SBMagento/slim-fit-dobby-oxford-shirt-572.html	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj003t_2.jpg	http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj003a_2.jpg,http://127.0.0.1/1SBMagento/media/catalog/product/m/s/msj003b_2.jpg	175.00	140.00	2013-03-05T00:00:00-08:00/2024-04-17T23:59:59-07:00	USD	in stock	 	2024-04-17	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
