sku,name,color,size,description,image_link
SKU001,Comfortable Sofa,,Large,A cozy sofa for your living room,00c17a09.jpg
SKU002,Smartphone X,Black,Medium,Feature-rich smartphone with high-performance camera,pexels-jeremy-bishop-2765873.jpg
SKU003,Running Shoes,Blue,10,High-performance running shoes for athletes,shoes.jpg
SKU004,Office Chair,Black,Adjustable,Ergonomic office chair for long hours of comfortable work,Doorbell.png
SKU005,LED TV,Silver,55 inches,High-definition LED TV with smart features,television.png
SKU006,Coffee Maker,Stainless Steel,One Size,Automatic coffee maker with programmable settings,Menu.png
SKU007,Laptop,Silver,13 inches,Thin and lightweight laptop with high-performance specs,laptop.png
SKU008,Hiking Backpack,Green,Large,Durable backpack with multiple compartments for hiking enthusiasts,backpack.jpg
SKU009,Desk Lamp,Black,Adjustable,LED desk lamp with adjustable brightness levels,lamp.jpg
SKU010,Bluetooth Speaker,Red,One Size,Portable Bluetooth speaker with deep bass,bluetooth-speaker.jpg
SKU011,Dining Table,Oak,Medium,Sturdy dining table with a classic design,table.jpg
SKU012,Microwave Oven,White,One Size,Compact microwave oven with multiple cooking presets,microwave.jpg
SKU013,Yoga Mat,Purple,One Size,Non-slip yoga mat for comfortable workouts,yogamat.jpg
SKU014,Digital Camera,Black,18 Megapixels,High-resolution digital camera with various shooting modes,hr-camera.jpg
SKU015,Gaming Chair,Blue,Adjustable,Comfortable gaming chair with ergonomic design,gamingchair.jpg
SKU016,Blender,Silver,One Size,Powerful blender for smoothies and food processing,
SKU017,Back Massager,Gray,One Size,Electric back massager for relaxation and stress relief,backmassager.jpg
SKU018,Water Bottle,Blue,750ml,Insulated water bottle for hot and cold beverages,waterbottle.jpeg
SKU019,Smartwatch,Black,One Size,Fitness tracker and smartwatch with health monitoring features,smartwatch.jpg
SKU020,Sunscreen Lotion,SPF 50,200ml,High SPF sunscreen for effective sun protection,sunscreen.jpg
SKU021,Digital Scale,Silver,Digital,Precision digital scale for accurate weight measurements,digitalscale.png
SKU022,Winter Jacket,Black,Large,Insulated winter jacket for cold weather,34185.jpg
SKU023,Toaster,White,2-Slice,Compact toaster for quick and easy toasting,toaster.jpg
SKU024,Wireless Mouse,Gray,One Size,Wireless mouse for convenient computer navigation,mouse.jpg
SKU025,Air Purifier,White,Large,High-efficiency air purifier for clean indoor air,airpurifier.jpg
